timestamp_us,channel,fsr_value,intensity
1759757956866655,0,0.513309,soft
1759757972829045,0,0.430884,soft
1759757973138373,0,0.510787,soft
1759757973735696,0,0.479724,soft
1759757979466263,0,0.362088,soft
1759757984770170,0,0.453213,soft
1759757989138094,0,0.399306,soft
1759757994673998,0,0.396135,soft
