Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65793842,143.292679,-7.134147,-26.768293,0.999512,-0.060547,-0.108398
1762435482291829,107.500000,-3.841464,-24.146341,0.996582,-0.060547,-0.111816
1762435482301684,49.817074,21.829269,-26.707317,0.993652,-0.059570,-0.114258
1762435482311535,12.743903,19.634148,-25.304878,0.993164,-0.058105,-0.117188
1762435482321387,20.609756,19.451220,-20.121952,0.993652,-0.058105,-0.119141
1762435482331239,20.365854,39.695122,-16.829269,0.994141,-0.058105,-0.120117
1762435482341092,-13.841464,40.121952,-14.451220,0.994141,-0.057617,-0.119629
1762435482350945,-39.878048,35.975609,-11.646341,0.995117,-0.057129,-0.118652
1762435482360798,-46.524391,50.243904,-8.536586,0.997559,-0.057617,-0.117676
1762435482370651,-28.719513,48.231709,-2.378049,0.999023,-0.057617,-0.115234
1762435482380503,-6.036585,36.829269,4.939024,0.998047,-0.057129,-0.111816
1762435482390356,-14.329268,50.182926,5.548780,0.996582,-0.057617,-0.108887
1762435482400208,-53.780491,54.329269,5.548780,0.997070,-0.058105,-0.106934
1762435482410061,-67.378052,41.341465,9.634147,0.997559,-0.057129,-0.106445
1762435482419913,-33.109756,42.926830,13.170732,0.997559,-0.056641,-0.106934
1762435482429767,-25.670732,48.536587,10.426829,0.996582,-0.058105,-0.107422
1762435482439619,-40.487804,38.292683,10.121951,0.996094,-0.061035,-0.107910
1762435482449472,-37.439026,36.341465,11.036586,0.996094,-0.062012,-0.108887
1762435482459326,-25.487806,39.329269,7.865854,0.998047,-0.061035,-0.108887
1762435482469178,7.621952,22.804878,8.292683,1.000488,-0.061035,-0.106934
1762435482479030,49.451221,13.536586,13.597561,1.000488,-0.062012,-0.102539
1762435482488883,40.487804,19.878050,11.341464,0.999512,-0.062012,-0.097168
1762435482498736,17.073172,10.304878,8.109756,0.999023,-0.061523,-0.091309
1762435482508591,59.756100,0.365854,14.024390,0.999512,-0.062012,-0.086426
1762435482518442,127.012199,8.292683,17.500000,1.000977,-0.062012,-0.083984
