Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65797842,91.219513,22.073172,-70.426834,0.853516,0.022949,-0.534180
1762435482296023,74.756096,23.536587,-59.024391,0.850586,0.021484,-0.533203
1762435482306069,30.731709,27.926830,-36.402439,0.847168,0.018555,-0.531738
1762435482316116,-1.707317,54.573174,-9.390244,0.846680,0.015137,-0.531738
1762435482326163,11.524390,55.182930,-3.780488,0.848633,0.012695,-0.532715
1762435482336209,8.719512,49.024391,2.500000,0.848145,0.011230,-0.532715
1762435482346256,-27.804878,71.890244,25.060976,0.847168,0.009277,-0.533203
1762435482356303,-43.292683,65.365852,35.609756,0.850586,0.007812,-0.535645
1762435482366350,-29.695122,48.292683,33.719513,0.852539,0.005859,-0.537109
1762435482376398,-12.560976,58.353661,34.878048,0.852539,0.004883,-0.538574
1762435482386444,-7.804878,44.817074,33.414635,0.852051,0.005371,-0.540527
1762435482396491,-27.500000,20.426830,34.573170,0.851074,0.005859,-0.541504
1762435482406538,-43.475613,27.195122,41.829269,0.851074,0.005371,-0.541504
1762435482416585,-34.390244,25.853659,44.817074,0.852539,0.004395,-0.542969
1762435482426631,-37.560978,10.792684,48.841465,0.851562,0.005371,-0.542480
1762435482436678,-44.634148,25.914635,50.670734,0.849609,0.007324,-0.540039
1762435482446725,-8.353659,52.865856,34.939026,0.849609,0.009277,-0.539551
1762435482456772,4.085366,49.634148,27.500000,0.851562,0.009766,-0.540527
1762435482466819,-8.414635,53.292683,35.853661,0.853027,0.009277,-0.541016
1762435482476866,33.414635,59.878052,22.743902,0.855469,0.010742,-0.542480
1762435482486913,59.390244,32.378048,1.646342,0.854980,0.013184,-0.544922
1762435482496960,23.841463,10.914635,1.524390,0.854004,0.014648,-0.546875
1762435482507006,49.695122,-2.012195,-14.207317,0.855469,0.014648,-0.549316
1762435482517053,108.719513,-38.414635,-43.292683,0.857422,0.015137,-0.551270
1762435482527100,125.670738,-46.585365,-53.109756,0.858398,0.016113,-0.551270
1762435482537147,76.890244,-40.853661,-36.402439,0.858398,0.016113,-0.550293
1762435482547194,70.365852,-39.573174,-29.390245,0.859863,0.014648,-0.549316
1762435482557241,85.731712,-33.231709,-25.060976,0.858887,0.013672,-0.547852
1762435482567288,37.743904,-3.170732,5.487805,0.855469,0.013184,-0.545410
1762435482577335,14.207317,4.756098,21.036587,0.853027,0.013184,-0.543945
1762435482587381,17.195122,1.280488,20.853659,0.851562,0.013672,-0.541992
1762435482597428,-23.841463,18.292683,40.182926,0.852539,0.013672,-0.541504
1762435482607475,-30.060976,24.207317,52.073174,0.854492,0.012695,-0.541992
1762435482617522,-36.036587,6.768293,59.512196,0.854980,0.013184,-0.542480
1762435482627569,-79.512199,3.231707,74.207321,0.853027,0.015625,-0.541992
1762435482637617,-83.475609,8.414635,72.378052,0.851562,0.017090,-0.541992
1762435482647663,-80.060974,-17.012196,67.682930,0.851074,0.017090,-0.542969
1762435482657710,-139.085373,-25.182928,93.719513,0.850586,0.018066,-0.541992
1762435482667757,-158.963425,-13.780488,104.939026,0.852539,0.020020,-0.541016
1762435482677803,-105.731712,-9.634147,80.060974,0.854004,0.023926,-0.539062
1762435482687850,-106.707321,9.390244,75.975609,0.853516,0.025879,-0.537109
1762435482697897,-119.939026,25.975611,81.524391,0.853027,0.027832,-0.536621
1762435482707944,-107.865860,12.743903,71.402443,0.852539,0.030762,-0.536621
1762435482717992,-100.243904,10.426829,56.768295,0.851562,0.034668,-0.535645
1762435482728038,-92.439026,20.548780,39.756100,0.852051,0.038086,-0.535645
1762435482738085,-46.951221,1.951220,7.560976,0.854980,0.040527,-0.537109
1762435482748132,-20.182928,-12.804878,-12.073171,0.854980,0.041992,-0.538086
1762435482758178,-17.256098,-9.817074,-20.792683,0.854980,0.043945,-0.538086
1762435482768226,19.939024,-27.378050,-50.670734,0.854980,0.046875,-0.538574
1762435482778272,36.402439,-33.475609,-72.317078,0.854980,0.048828,-0.537598
1762435482788319,55.243904,-18.353659,-85.121956,0.856445,0.048828,-0.538086
1762435482798366,99.024391,-23.841463,-104.756104,0.859375,0.048340,-0.538574
1762435482808413,114.085365,-27.926830,-115.548782,0.860352,0.048340,-0.538086
1762435482818460,120.731712,-10.060976,-121.097565,0.860840,0.047363,-0.537598
1762435482828506,145.548782,-14.329268,-132.682922,0.861816,0.045410,-0.539062
1762435482838554,135.182938,-32.439026,-127.804878,0.862305,0.042480,-0.540527
1762435482848600,96.890244,-32.560978,-106.524391,0.862305,0.039062,-0.541016
1762435482858647,90.365852,-43.231709,-98.048782,0.862305,0.036133,-0.542480
1762435482868694,52.073174,-60.792683,-81.280487,0.861328,0.032715,-0.542969
1762435482878741,9.695122,-57.134148,-58.109756,0.860352,0.029297,-0.542480
1762435482888788,14.634147,-52.378052,-49.695122,0.861328,0.025879,-0.541992
1762435482898835,0.060976,-51.280491,-35.060978,0.861816,0.022461,-0.541504
1762435482908881,-30.000000,-28.170732,-9.573171,0.859863,0.018555,-0.539551
1762435482918928,-38.231709,-5.304878,8.536586,0.859375,0.016113,-0.538574
1762435482928975,-58.536587,-3.902439,23.414635,0.858398,0.014160,-0.537598
1762435482939022,-71.768295,11.219513,35.914635,0.856445,0.012207,-0.537109
1762435482949069,-58.536587,14.878049,37.804878,0.854980,0.010254,-0.537598
1762435482959116,-82.926834,0.121951,48.170734,0.853027,0.009766,-0.538086
1762435482969163,-115.304878,-6.036585,59.817074,0.851562,0.009766,-0.538086
1762435482979210,-100.914635,-2.256098,55.792683,0.851074,0.009277,-0.538086
1762435482989257,-91.768295,-7.256098,52.378052,0.852051,0.009277,-0.538086
1762435482999303,-88.780487,-3.292683,51.890244,0.851074,0.009766,-0.536621
1762435483009350,-53.719513,20.670732,39.756100,0.851074,0.011230,-0.535156
1762435483019397,-19.451220,31.951220,23.292683,0.851562,0.012695,-0.534668
