Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65801927,67.560974,1.524390,-17.073172,0.977539,0.164062,-0.101074
1762435482300186,1.097561,14.329268,3.048780,0.977051,0.161621,-0.101562
1762435482310310,-32.195122,27.804878,12.256098,0.977539,0.162598,-0.099121
1762435482320436,3.109756,35.914635,4.695122,0.978516,0.165527,-0.095215
1762435482330560,36.158539,33.170731,-2.621951,0.979492,0.166504,-0.094727
1762435482340686,16.158537,32.073170,0.426829,0.978516,0.165527,-0.100098
1762435482350810,-28.292683,30.609756,9.329268,0.978027,0.166016,-0.104492
1762435482360934,-31.097561,19.756098,7.926829,0.978027,0.168945,-0.105469
1762435482371059,12.804878,5.243903,-5.182927,0.978027,0.172363,-0.105469
1762435482381184,31.951220,-2.134146,-11.890244,0.977051,0.172852,-0.107422
1762435482391309,14.634147,-1.280488,-9.146341,0.976562,0.170898,-0.107910
1762435482401434,-17.134148,1.158537,-0.548781,0.976562,0.169434,-0.104492
1762435482411560,-16.280489,3.780488,4.939024,0.977539,0.168457,-0.097656
1762435482421683,-0.853659,7.439024,6.707317,0.979492,0.167969,-0.091797
1762435482431808,14.939025,17.134148,6.036585,0.979492,0.166992,-0.088379
1762435482441933,9.085366,27.073172,9.573171,0.979492,0.166016,-0.086914
1762435482452058,-1.585366,34.146343,12.926829,0.979980,0.164551,-0.085449
1762435482462183,11.158537,33.963417,12.134147,0.980469,0.164551,-0.083496
1762435482472308,40.243904,30.792685,8.597561,0.980957,0.163574,-0.082031
1762435482482434,42.560978,27.378050,9.573171,0.980957,0.162598,-0.083496
1762435482492558,16.829269,21.829269,14.573171,0.979980,0.162109,-0.085449
1762435482502682,20.365854,20.731709,13.719513,0.979980,0.164062,-0.084473
1762435482512807,58.170734,12.317074,2.256098,0.980957,0.170410,-0.083008
1762435482522932,105.792686,4.207317,-11.890244,0.980957,0.168945,-0.083496
1762435482533056,79.695122,-2.073171,-6.951220,0.980957,0.166504,-0.084961
1762435482543181,38.658539,-10.182927,0.000000,0.980957,0.166504,-0.085449
1762435482553307,45.426830,-10.792684,-1.402439,0.980957,0.166504,-0.081543
1762435482563431,65.914635,-4.634147,-6.036585,0.980957,0.165527,-0.077637
1762435482573556,63.902439,4.817073,-8.719512,0.980957,0.165039,-0.076172
1762435482583681,57.621952,16.890244,-8.536586,0.981934,0.165039,-0.074707
1762435482593805,60.365856,22.134148,-9.817074,0.983398,0.164551,-0.072754
1762435482603930,42.378048,14.695123,-7.378049,0.983887,0.164551,-0.073242
1762435482614055,11.341464,0.060976,-1.402439,0.983398,0.163086,-0.075684
1762435482624181,-19.695122,-11.646341,3.780488,0.981934,0.163086,-0.079102
1762435482634306,-57.195122,-17.073172,9.268293,0.981934,0.162598,-0.078125
1762435482644430,-50.304878,-11.036586,8.414635,0.982422,0.161621,-0.076172
1762435482654555,-35.609756,-3.048780,5.060976,0.982422,0.161621,-0.075195
1762435482664679,-43.414635,-3.902439,6.280488,0.982422,0.161133,-0.075684
1762435482674804,-68.475609,-11.890244,11.402439,0.982910,0.160645,-0.076660
1762435482684929,-91.158539,-20.304878,14.451220,0.982422,0.160156,-0.077637
1762435482695054,-99.878052,-17.987804,15.609756,0.982910,0.159180,-0.076172
1762435482705179,-71.951218,-7.134147,10.731708,0.983398,0.158691,-0.072266
1762435482715304,-38.963417,3.170732,3.902439,0.983887,0.158203,-0.070801
1762435482725428,-52.987804,3.780488,6.585366,0.983887,0.157715,-0.071777
1762435482735553,-69.573174,-5.914634,10.365854,0.983887,0.157227,-0.071289
1762435482745678,-56.158539,-12.804878,8.231708,0.983887,0.156250,-0.071289
1762435482755803,-48.414635,-18.048780,8.414635,0.983398,0.155762,-0.070312
1762435482765928,-16.646341,-12.621951,3.170732,0.983398,0.154785,-0.070312
1762435482776053,-30.121952,-11.829268,4.817073,0.982422,0.154297,-0.071289
1762435482786177,-7.012195,-10.670732,0.487805,0.982910,0.153809,-0.071289
1762435482796302,5.365854,-14.756098,-2.804878,0.983887,0.153809,-0.071289
1762435482806427,23.597561,-19.268293,-7.682927,0.983887,0.154785,-0.071777
1762435482816552,33.170731,-19.207317,-10.243902,0.984375,0.155762,-0.073242
1762435482826676,32.134148,-18.048780,-11.402439,0.983887,0.155762,-0.074707
1762435482836801,28.597561,-17.134148,-12.439025,0.983887,0.155762,-0.075684
1762435482846926,34.512196,-17.012196,-13.658537,0.983398,0.154785,-0.076172
1762435482857051,11.829268,-17.378050,-8.353659,0.982422,0.153809,-0.077637
1762435482867176,-12.195122,-14.024390,-3.963415,0.981934,0.153809,-0.078613
1762435482877300,-22.804878,-9.146341,-2.987805,0.982422,0.155762,-0.079590
