Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
1762435482996300,-67.682930,-5.548780,-11.890244,0.993164,0.080078,0.089355
1762435483006412,-46.097561,-4.512195,-6.341464,0.994141,0.077148,0.090820
1762435483016524,-42.560978,-5.000000,-4.451220,0.994629,0.074219,0.092285
1762435483026638,-17.926830,-5.304878,1.463415,0.994629,0.070312,0.093262
1762435483036749,17.073172,-3.780488,4.573171,0.994629,0.067871,0.093262
1762435483046861,27.439026,-0.975610,4.146341,0.994141,0.066895,0.093262
1762435483056973,22.378050,-0.731707,7.926829,0.993164,0.066895,0.093262
1762435483067086,10.670732,1.768293,8.353659,0.992676,0.066895,0.093750
1762435483077198,14.146341,3.414634,8.597561,0.992188,0.066406,0.095215
1762435483087313,26.402439,2.926829,13.841464,0.992188,0.066895,0.096680
1762435483097422,33.231709,10.365854,15.487805,0.993164,0.067383,0.099609
1762435483107535,32.012196,12.073171,16.646341,0.994141,0.068359,0.102539
1762435483117648,38.780487,9.146341,20.121952,0.994629,0.068848,0.104492
1762435483127759,47.500000,14.695123,19.512196,0.995117,0.070312,0.105469
1762435483137872,37.560978,16.768293,20.792683,0.995117,0.072754,0.105957
1762435483147984,29.024391,15.365854,23.414635,0.995117,0.075684,0.105469
1762435483158096,5.304878,10.975610,19.756098,0.994629,0.078125,0.104492
1762435483168209,-11.890244,18.536587,20.365854,0.994141,0.080566,0.102539
1762435483178321,-27.987806,18.841463,20.914635,0.993164,0.082031,0.101074
1762435483188433,-34.451221,20.975611,16.646341,0.993164,0.082520,0.099609
1762435483198545,-41.219513,16.585365,18.231709,0.993652,0.082520,0.098145
1762435483208658,-35.487804,17.012196,21.524391,0.994629,0.081543,0.096680
1762435483218770,-29.573172,15.365854,19.024391,0.995117,0.079590,0.095215
1762435483228882,-21.341463,14.146341,19.817074,0.996094,0.077637,0.093750
1762435483238995,-12.012196,16.585365,20.000000,0.996582,0.075684,0.092285
1762435483249107,-6.402439,21.097561,17.500000,0.995605,0.073730,0.090332
1762435483259219,-5.487805,21.524391,19.024391,0.993652,0.071289,0.089844
1762435483269332,-5.792683,20.121952,17.621952,0.993164,0.068848,0.087402
1762435483279444,-2.804878,16.158537,16.280489,0.993652,0.064941,0.085938
1762435483289557,73.963417,2.439024,31.707317,0.996094,0.064941,0.086914
1762435483299668,48.231709,6.524390,32.621952,0.998535,0.064453,0.087891
1762435483309781,64.207321,21.158537,23.841463,0.999512,0.062500,0.091309
1762435483319893,86.524391,30.975611,21.829269,1.000488,0.063477,0.093750
1762435483330005,117.195122,45.914635,17.500000,0.997559,0.064453,0.100098
1762435483340118,72.560974,34.451221,14.756098,0.995605,0.065918,0.104004
1762435483350230,-3.048780,30.487806,14.573171,0.992676,0.068848,0.105469
1762435483360342,-20.792683,23.231709,9.390244,0.991699,0.070312,0.106934
1762435483370455,14.939025,10.670732,5.060976,0.990234,0.068848,0.109375
1762435483380567,44.756100,29.329269,2.743902,0.991211,0.066895,0.112793
1762435483390680,9.207317,3.780488,-1.890244,0.991699,0.066406,0.118652
1762435483400793,-14.573171,10.792684,0.304878,0.992676,0.065430,0.122070
1762435483410904,1.341463,22.865854,0.670732,0.991699,0.061523,0.124512
1762435483421016,28.902439,3.902439,-9.207317,0.990234,0.058594,0.125000
1762435483431129,41.036587,-0.731707,-12.256098,0.989258,0.060059,0.125000
1762435483441241,16.219513,-1.829268,-8.353659,0.989258,0.061523,0.124023
1762435483451353,-6.280488,-1.219512,-8.902439,0.989746,0.058594,0.121094
1762435483461465,25.853659,-2.073171,-10.060976,0.989258,0.055176,0.118652
1762435483471578,64.024391,13.353659,-11.890244,0.987793,0.054688,0.117676
1762435483481690,46.951221,12.621951,-13.109756,0.986816,0.057129,0.119141
1762435483491802,4.878049,-17.682928,-11.402439,0.986328,0.058594,0.121582
1762435483501914,-0.914634,-31.524391,-13.536586,0.986328,0.058105,0.122559
1762435483512028,36.829269,-15.487805,-17.682928,0.987305,0.057129,0.123535
1762435483522139,67.012199,-17.256098,-19.085367,0.988281,0.058105,0.125000
1762435483532251,35.182926,-29.878050,-21.768293,0.989258,0.062988,0.125977
1762435483542364,-15.000000,-25.975611,-19.817074,0.988281,0.066895,0.125488
1762435483552476,-30.487806,-28.353659,-18.719513,0.986816,0.068848,0.124023
1762435483562589,-25.426830,-28.292683,-26.036587,0.986816,0.071777,0.121582
1762435483572700,-44.146343,-24.268293,-26.158537,0.987793,0.076172,0.120605
1762435483582813,-80.304878,-15.548780,-20.487804,0.988770,0.078613,0.119629
1762435483592925,-104.207321,-17.804878,-23.658537,0.989258,0.078125,0.120605
1762435483603037,-67.804878,-21.097561,-26.158537,0.989746,0.074219,0.121582
1762435483613151,-83.353661,-17.865854,-22.500000,0.993164,0.072754,0.121094
1762435483623264,-40.609756,-5.792683,-22.865854,0.993652,0.072754,0.121094
1762435483633374,-36.768295,-8.231708,-17.621952,0.993164,0.068848,0.119141
1762435483643487,5.914634,-17.256098,-15.000000,0.990723,0.064453,0.117676
1762435483653599,2.987805,-42.012196,-16.158537,0.989746,0.063477,0.114746
1762435483663712,25.243902,-27.500000,-5.182927,0.989746,0.063477,0.112793
1762435483673825,23.597561,-34.329269,-0.731707,0.988770,0.060059,0.111816
1762435483683936,50.853661,-40.914635,-4.024390,0.990234,0.058594,0.111816
1762435483694048,57.743904,-34.390244,1.646342,0.990723,0.061035,0.111816
1762435483704160,66.402443,-7.987805,6.585366,0.992188,0.063477,0.112793
1762435483714273,49.146343,-21.707317,4.634147,0.991699,0.063477,0.112793
1762435483724385,49.390244,-15.487805,6.463415,0.991211,0.068359,0.111816
1762435483734500,45.426830,-18.292683,7.317073,0.990723,0.073242,0.111816
1762435483744610,-12.317074,-14.329268,9.817074,0.990234,0.076660,0.109863
1762435483754722,6.524390,-5.365854,11.524390,0.989258,0.079590,0.109863
1762435483764834,-40.548782,-47.317074,7.439024,0.992676,0.083008,0.109863
1762435483774947,-73.109756,-20.670732,10.731708,0.996582,0.087891,0.107422
1762435483785059,-69.268295,-4.207317,11.829268,0.996094,0.087891,0.108398
1762435483795171,-51.585365,4.573171,3.963415,0.994629,0.088379,0.109375
1762435483805283,-34.085365,-16.158537,-2.073171,0.993652,0.092285,0.109375
