Timestamp (us),String
83318041,0.999325,0.998626,0.999458,0.995192,0.995295,0.998955,0.998630,0.998863 
83320708,0.999382,0.998657,0.999382,0.995273,0.995265,0.998970,0.998623,0.998909 
1762435482287543,0.999317,0.998577,0.999359,0.995269,0.995299,0.998901,0.998565,0.998871 
1762435482290208,0.999359,0.998611,0.999382,0.995208,0.995253,0.998878,0.998657,0.998863 
1762435482292875,0.999283,0.998611,0.999428,0.995273,0.995265,0.998920,0.998592,0.998893 
1762435482295541,0.999287,0.998611,0.999386,0.995253,0.995269,0.998951,0.998604,0.998855 
1762435482298208,0.999313,0.998634,0.999420,0.995227,0.995234,0.998947,0.998626,0.998844 
1762435482300875,0.999267,0.998665,0.999397,0.995154,0.995280,0.998924,0.998607,0.998848 
1762435482303541,0.999294,0.998642,0.999458,0.995208,0.995215,0.998951,0.998592,0.998882 
1762435482306208,0.999328,0.998588,0.999397,0.995322,0.995253,0.998928,0.998604,0.998890 
1762435482308874,0.999256,0.998569,0.999432,0.995253,0.995273,0.998916,0.998630,0.998909 
1762435482311541,0.999302,0.998573,0.999367,0.995280,0.995284,0.998932,0.998584,0.998852 
1762435482314208,0.999271,0.998562,0.999443,0.995227,0.995257,0.998905,0.998619,0.998878 
1762435482316874,0.999294,0.998619,0.999443,0.995162,0.995246,0.998928,0.998611,0.998913 
1762435482319541,0.999309,0.998611,0.999474,0.995265,0.995261,0.998981,0.998604,0.998905 
1762435482322208,0.999309,0.998630,0.999412,0.995189,0.995299,0.998932,0.998630,0.998863 
1762435482324874,0.999348,0.998672,0.999390,0.995219,0.995295,0.998936,0.998611,0.998909 
1762435482327541,0.999267,0.998569,0.999412,0.995253,0.995261,0.998955,0.998596,0.998859 
1762435482330208,0.999332,0.998657,0.999382,0.995238,0.995261,0.998958,0.998584,0.998867 
1762435482332874,0.999302,0.998600,0.999420,0.995192,0.995265,0.998913,0.998596,0.998844 
1762435482335541,0.999313,0.998638,0.999390,0.995177,0.995253,0.998943,0.998611,0.998863 
1762435482338208,0.999313,0.998611,0.999435,0.995307,0.995273,0.998928,0.998604,0.998848 
