Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65799830,-18.292683,3.170732,6.524390,0.617188,-0.265137,0.740234
1762435482297878,-17.804878,4.451220,6.219512,0.619629,-0.264648,0.739258
1762435482307793,-20.487804,6.646342,6.829268,0.621582,-0.263672,0.738281
1762435482317707,-25.182928,9.390244,8.292683,0.624023,-0.262695,0.737793
1762435482327623,-30.243904,11.768293,9.695122,0.625488,-0.263672,0.736816
1762435482337538,-30.609756,13.536586,9.573171,0.626465,-0.266602,0.735840
1762435482347453,-26.829269,14.878049,8.231708,0.626953,-0.270508,0.734863
1762435482357368,-22.926830,15.609756,6.890244,0.626953,-0.273926,0.733887
1762435482367283,-17.439024,15.365854,5.792683,0.627441,-0.277344,0.733398
1762435482377198,-14.512196,14.573171,5.426829,0.627930,-0.279785,0.732910
1762435482387113,-10.731708,12.439025,5.000000,0.627930,-0.283203,0.731934
1762435482397027,-3.841464,10.365854,2.073171,0.627930,-0.288086,0.731445
1762435482406943,6.280488,8.658537,-0.426829,0.627441,-0.292969,0.731445
1762435482416857,14.329268,7.012195,-1.097561,0.626953,-0.294922,0.731445
1762435482426772,18.170732,6.341464,-2.560976,0.625977,-0.294922,0.730469
1762435482436688,20.304878,3.902439,-3.658537,0.624023,-0.296875,0.728516
1762435482446602,22.926830,1.585366,-3.902439,0.624023,-0.300781,0.727539
1762435482456518,29.512196,0.853659,-2.804878,0.622070,-0.309082,0.725098
1762435482466432,35.487804,-1.829268,6.036585,0.618164,-0.316895,0.720215
1762435482476347,32.500000,-11.463415,22.256098,0.616211,-0.320801,0.717285
1762435482486262,27.439026,-18.963415,34.939026,0.619141,-0.319336,0.719238
1762435482496177,16.463415,-18.597561,43.963417,0.623535,-0.310547,0.723633
1762435482506092,7.317073,-16.707317,43.841465,0.627441,-0.299316,0.728027
1762435482516007,7.195122,-13.963415,30.548780,0.630371,-0.286133,0.732422
1762435482525921,6.036585,-9.085366,13.780488,0.632324,-0.273438,0.736328
1762435482535837,2.134146,-4.939024,1.524390,0.632324,-0.264648,0.738281
1762435482545752,-3.536585,-3.170732,-2.500000,0.630371,-0.261230,0.739258
1762435482555666,-8.841464,-2.621951,-0.792683,0.628906,-0.260254,0.739258
1762435482565581,-13.109756,-2.195122,2.378049,0.628418,-0.262695,0.738770
1762435482575496,-12.926829,-0.182927,2.317073,0.628418,-0.265137,0.738770
1762435482585411,-13.048780,3.841464,2.195122,0.629395,-0.268066,0.738770
1762435482595326,-10.121951,13.841464,-0.182927,0.628906,-0.271484,0.738770
1762435482605241,2.865854,31.097561,-12.073171,0.626953,-0.268555,0.737793
1762435482615156,0.609756,40.975609,-21.219513,0.623047,-0.262695,0.735840
1762435482625071,-13.109756,41.158539,-16.585365,0.621094,-0.263672,0.736328
1762435482634986,-15.060976,40.853661,-10.121951,0.620605,-0.265625,0.736816
1762435482644901,-14.634147,33.109756,-9.085366,0.622070,-0.267578,0.740234
1762435482654816,-13.963415,28.353659,-6.890244,0.622559,-0.269043,0.741699
1762435482664730,-14.024390,20.609756,-8.658537,0.620605,-0.270020,0.741699
1762435482674646,-16.219513,13.475610,-5.304878,0.620117,-0.274902,0.743164
1762435482684561,-11.097561,10.731708,-3.170732,0.621582,-0.280762,0.746094
1762435482694475,-7.378049,6.463415,-1.768293,0.620117,-0.283203,0.747070
1762435482704391,-6.890244,2.500000,-0.243902,0.618652,-0.284668,0.747070
1762435482714305,-6.585366,1.646342,0.304878,0.617676,-0.285156,0.748535
1762435482724220,-4.939024,1.890244,-0.426829,0.615723,-0.285645,0.749023
1762435482734135,-3.963415,1.158537,-0.609756,0.615234,-0.285645,0.750488
1762435482744051,-3.658537,0.914634,-0.487805,0.614258,-0.286621,0.751465
1762435482753965,-2.560976,0.975610,-0.060976,0.612793,-0.286133,0.751953
1762435482763880,-3.475610,1.036585,0.792683,0.611328,-0.284668,0.752930
1762435482773795,-5.365854,0.792683,1.402439,0.609375,-0.284180,0.752930
1762435482783710,-5.426829,0.060976,1.036585,0.607910,-0.284180,0.753418
1762435482793625,-4.146341,-0.365854,0.243902,0.606934,-0.285645,0.753906
1762435482803540,-2.865854,-0.548781,-0.243902,0.606445,-0.287109,0.753906
1762435482813454,-1.402439,-0.792683,-0.487805,0.606445,-0.288086,0.754883
1762435482823369,-2.317073,-0.914634,0.121951,0.605957,-0.288086,0.755371
1762435482833284,-3.414634,-0.853659,1.097561,0.605957,-0.287109,0.756348
1762435482853114,-5.548780,-1.219512,2.682927,0.604492,-0.286621,0.757324
1762435482863029,-7.195122,-1.036585,2.865854,0.604004,-0.286621,0.757812
1762435482872945,-7.012195,-0.487805,2.621951,0.603027,-0.286621,0.757812
1762435482882859,-4.451220,-0.060976,0.060976,0.603027,-0.285156,0.757812
1762435482892774,-3.719512,0.975610,-3.292683,0.602539,-0.284668,0.758301
1762435482902690,-3.597561,2.500000,-4.939024,0.602539,-0.284668,0.758789
1762435482912604,-0.365854,6.280488,-8.048780,0.602051,-0.286133,0.757812
1762435482922519,0.609756,12.195122,-7.865854,0.601074,-0.286621,0.757324
1762435482932434,1.951220,19.146341,-8.170732,0.598145,-0.286621,0.755859
1762435482942349,1.829268,21.524391,-9.512196,0.595703,-0.283691,0.754883
1762435482952263,-4.024390,23.292683,-8.414635,0.595215,-0.281250,0.756348
1762435482962180,-6.951220,24.146341,-8.109756,0.595703,-0.280762,0.758789
1762435482972093,-7.073171,22.743902,-8.597561,0.596191,-0.280762,0.761230
1762435482982008,-5.304878,19.878050,-9.939025,0.595703,-0.281250,0.762695
1762435482991923,-4.939024,15.304878,-9.512196,0.594727,-0.282715,0.763184
1762435483001837,-5.609756,9.390244,-6.463415,0.593262,-0.284180,0.763672
1762435483011754,-7.500000,4.390244,-2.378049,0.591797,-0.285645,0.764160
1762435483021668,-8.414635,2.682927,-0.609756,0.590820,-0.285156,0.765137
1762435483031583,-10.853659,2.804878,-0.853659,0.589844,-0.283691,0.765137
1762435483041498,-11.768293,4.085366,-3.109756,0.587891,-0.282227,0.764648
1762435483051413,-15.914635,9.268293,-3.902439,0.585449,-0.280273,0.763672
1762435483061328,-18.780489,13.902439,-4.634147,0.582520,-0.280762,0.762695
1762435483071242,-17.621952,14.451220,-4.817073,0.582520,-0.283203,0.764160
1762435483081157,-13.048780,14.512196,-4.268293,0.583496,-0.286621,0.767578
1762435483091072,-9.695122,13.597561,-3.414634,0.583496,-0.288574,0.769531
1762435483100987,-6.829268,10.731708,-4.085366,0.582520,-0.290039,0.770508
1762435483110902,-5.975610,8.536586,-4.024390,0.582031,-0.291992,0.770996
1762435483120818,-3.658537,6.890244,-3.475610,0.582031,-0.294434,0.772461
1762435483130732,-2.560976,4.451220,-1.829268,0.581543,-0.296387,0.772949
1762435483140647,-0.731707,1.768293,-0.426829,0.581055,-0.297852,0.773926
1762435483150562,1.402439,0.731707,-0.792683,0.580566,-0.297852,0.774902
1762435483160476,2.560976,-0.182927,-1.219512,0.579590,-0.297363,0.775879
1762435483170392,2.804878,-1.158537,-0.853659,0.578613,-0.296387,0.777344
1762435483180307,2.926829,-2.134146,-0.426829,0.577148,-0.295410,0.777832
1762435483190222,2.804878,-3.231707,-0.121951,0.576660,-0.293945,0.778809
1762435483200137,2.743902,-4.085366,-0.670732,0.576172,-0.294434,0.779297
1762435483210052,6.646342,-4.878049,-2.804878,0.576660,-0.296875,0.779785
1762435483219967,11.341464,-6.280488,-4.573171,0.576172,-0.299316,0.779297
1762435483229881,13.780488,-8.414635,-4.085366,0.575195,-0.302734,0.777344
1762435483239797,18.170732,-10.060976,-4.085366,0.575195,-0.307617,0.775879
1762435483249712,19.939024,-13.780488,1.097561,0.576172,-0.313965,0.773926
1762435483259626,17.743902,-20.426830,10.914635,0.576660,-0.319336,0.770996
1762435483269542,12.804878,-29.085367,23.231709,0.577637,-0.324219,0.767578
1762435483289371,8.170732,-45.365856,44.329269,0.580078,-0.328125,0.763184
1762435483299286,7.012195,-48.902439,49.878052,0.581055,-0.325195,0.762207
1762435483309201,8.902439,-47.134148,49.085365,0.582520,-0.322266,0.762207
1762435483319116,15.426829,-42.317074,41.951221,0.583008,-0.316895,0.762695
1762435483329031,17.987804,-34.390244,33.658539,0.584473,-0.308105,0.764648
1762435483338946,16.585365,-26.219513,25.548780,0.584473,-0.298828,0.766602
1762435483348860,16.158537,-19.451220,18.536587,0.584473,-0.291016,0.769043
1762435483358775,16.280489,-14.268293,13.353659,0.585938,-0.283203,0.771484
1762435483368691,12.804878,-10.243902,8.780488,0.587402,-0.274902,0.773926
1762435483378605,8.597561,-7.439024,4.268293,0.588379,-0.270020,0.774902
1762435483388520,8.231708,-5.365854,0.182927,0.588867,-0.269043,0.774902
1762435483398435,10.609756,-4.695122,-1.402439,0.590332,-0.269531,0.773438
1762435483408350,9.512196,-4.939024,0.731707,0.591797,-0.268555,0.772461
1762435483418265,1.280488,-6.036585,5.000000,0.593750,-0.266602,0.770996
1762435483428180,-4.939024,-7.439024,7.804878,0.595703,-0.268066,0.769531
1762435483438094,-4.024390,-8.475610,8.597561,0.597168,-0.271484,0.767578
1762435483448011,1.219512,-8.414635,7.865854,0.597656,-0.274414,0.765625
1762435483457925,3.841464,-7.134147,7.317073,0.597656,-0.276855,0.764160
1762435483467840,7.195122,-6.036585,7.134147,0.598145,-0.278809,0.762695
1762435483477755,9.695122,-5.121951,6.585366,0.598633,-0.280273,0.761719
1762435483487670,11.890244,-4.268293,5.975610,0.599609,-0.281250,0.760742
1762435483497585,11.463415,-3.414634,5.975610,0.600586,-0.280762,0.759766
1762435483507500,9.817074,-3.597561,6.402439,0.602539,-0.280273,0.759277
1762435483517414,6.951220,-5.000000,7.317073,0.604492,-0.279785,0.758789
1762435483527329,4.573171,-7.012195,9.024390,0.605469,-0.279785,0.758301
1762435483537244,2.439024,-9.268293,11.646341,0.605957,-0.278809,0.757324
1762435483547159,-0.548781,-10.426829,13.414635,0.606445,-0.277832,0.756836
1762435483557074,-1.219512,-10.487805,13.719513,0.605957,-0.277344,0.756836
1762435483566989,0.426829,-9.573171,12.317074,0.606445,-0.277832,0.756348
1762435483576904,2.439024,-8.048780,10.182927,0.606445,-0.277344,0.756348
1762435483586819,4.695122,-6.463415,7.073171,0.607422,-0.277832,0.755859
1762435483596733,7.317073,-5.304878,4.268293,0.607910,-0.279785,0.754883
1762435483606649,10.914635,-5.121951,1.768293,0.608887,-0.282227,0.753906
1762435483616564,16.768293,-5.000000,-0.548781,0.609375,-0.285156,0.752930
1762435483626479,14.695123,-5.792683,2.195122,0.610352,-0.284180,0.750977
1762435483636393,10.853659,-10.182927,8.536586,0.612793,-0.289551,0.750000
1762435483646308,18.292683,-14.268293,11.768293,0.612305,-0.290527,0.747559
