Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65793139,-9.085366,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435482291172,-10.731708,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482301070,8.414635,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482310969,-4.268293,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482320868,-9.756098,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435482330765,5.975610,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482340664,7.865854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482350562,18.536587,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482360460,7.317073,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482370359,-14.634147,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482380257,-3.353659,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482390155,2.134146,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482400054,9.451220,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482409954,21.890244,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482419850,10.060976,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482429750,7.134147,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482439647,5.731708,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482449545,-8.231708,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482459444,0.182927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482469342,14.695123,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482479240,20.182928,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482489138,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482499037,6.402439,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482508935,-6.951220,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482518834,7.865854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482528733,12.682927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482538630,5.365854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482548528,6.341464,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482558427,-1.463415,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482568325,-2.865854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482578223,3.902439,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482588122,-5.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482598021,-7.865854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482607918,-2.500000,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482617820,-5.182927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482627715,-9.939025,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482637614,-17.560976,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482647512,-22.317074,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482657410,-15.121952,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482667308,1.341463,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482677206,-5.670732,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482687105,-19.024391,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482697003,-9.939025,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482706901,0.792683,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482716800,10.670732,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482726699,12.073171,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482736597,-2.804878,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482746495,-1.341463,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435482756393,11.097561,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482766292,3.780488,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482776190,-5.670732,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482786088,-9.085366,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435482795987,-9.634147,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482805885,3.048780,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482815783,4.939024,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482825684,-13.475610,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482835580,-17.256098,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482845478,-7.987805,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482855377,1.036585,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482865275,7.195122,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482875173,2.804878,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482885074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482894970,8.963415,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482904869,8.048780,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482914767,-2.378049,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482924666,-3.841464,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482934563,-4.390244,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482944461,3.048780,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482954360,2.134146,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482964258,-17.012196,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482974156,-23.963415,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482984055,-16.158537,0.000000,0.000000,0.000000,0.000000,0.000000
1762435482993954,-8.414635,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483003851,-3.658537,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483013750,-9.634147,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483023648,-14.695123,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483033548,-2.621951,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483043445,5.853659,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483053343,1.768293,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483063241,-3.475610,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483073140,-5.426829,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483083038,-2.073171,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483092936,4.024390,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483102834,-1.646342,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483112733,-11.829268,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483122631,-12.012196,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483132531,-8.780488,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483142428,-8.231708,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483152326,-7.743903,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483162224,-7.256098,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483172123,-3.231707,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483182021,4.939024,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483191920,7.804878,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483201818,6.768293,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483211716,11.097561,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483221616,18.597561,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483231513,23.841463,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483241412,25.548780,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483251310,26.402439,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483261208,25.304878,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483271107,27.317074,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483281005,33.536587,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483290903,26.768293,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483300802,11.707317,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483310700,10.182927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483320598,12.134147,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483330496,14.390244,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483340395,14.146341,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483350293,13.048780,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483360191,9.085366,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483370089,4.024390,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483379988,10.792684,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483389887,20.548780,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483399784,22.987806,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483409683,19.207317,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483419581,10.792684,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483429481,3.231707,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483439378,1.158537,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483449277,0.121951,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483459174,-2.865854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483469073,-10.121951,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483478971,-13.597561,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483488870,-12.500000,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483498768,0.792683,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483508666,9.878049,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483518565,7.073171,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483528463,11.280488,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483538361,22.987806,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483548260,25.487806,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483558158,18.414635,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483568056,5.914634,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483577955,-1.951220,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483587853,1.890244,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483597751,1.402439,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483607650,-10.365854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483617548,-9.939025,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483627446,5.487805,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483637346,9.817074,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483647243,4.939024,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483657141,11.341464,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483667042,11.890244,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483676938,14.268293,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483686837,26.463415,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483696735,22.865854,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483706633,9.329268,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483716531,3.841464,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483726430,-3.231707,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483736329,7.682927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483746227,-2.256098,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483756125,13.414635,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483766023,45.853661,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483775922,19.878050,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483785821,-10.182927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483795718,5.731708,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483805617,45.243904,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483815515,51.341465,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483825415,0.182927,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483835312,-29.329269,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483845211,13.719513,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483855108,26.219513,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483865007,-24.878050,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483874905,-32.439026,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483884803,19.085367,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483894702,8.353659,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483904600,-29.634148,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483914498,-11.158537,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483924397,24.024391,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483934295,19.024391,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483944195,-3.963415,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483954092,-5.060976,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435483963990,13.414635,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483973888,8.475610,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483983787,-22.012196,0.000000,0.000000,0.000000,0.000000,0.000000
1762435483993685,-16.646341,-0.000000,-0.000000,0.000000,0.000000,0.000000
1762435484003583,15.792684,0.000000,0.000000,0.000000,0.000000,0.000000
1762435484013482,-5.731708,0.000000,0.000000,0.000000,0.000000,0.000000
1762435484023380,-36.158539,0.000000,0.000000,0.000000,0.000000,0.000000
1762435484033280,-9.146341,0.000000,0.000000,0.000000,0.000000,0.000000
