Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
65797412,-14.634147,1.829268,-4.878049,-0.065430,-0.353027,0.926270
1762435482295524,-13.841464,1.341463,-4.390244,-0.067871,-0.353027,0.926758
1762435482305500,-15.000000,0.792683,-4.939024,-0.069336,-0.351562,0.927246
1762435482315477,-18.536587,1.097561,-6.341464,-0.070801,-0.350586,0.927734
1762435482325453,-23.231709,2.743902,-8.231708,-0.072266,-0.350586,0.928223
1762435482335430,-24.329269,3.902439,-8.841464,-0.074219,-0.353027,0.927734
1762435482345407,-20.975611,3.170732,-7.743903,-0.076660,-0.355957,0.927246
1762435482355386,-17.560976,2.195122,-6.280488,-0.078613,-0.359375,0.926758
1762435482365361,-13.841464,0.304878,-4.207317,-0.081055,-0.362305,0.926758
1762435482375337,-10.487805,-1.524390,-2.378049,-0.082520,-0.363770,0.927734
1762435482385314,-9.329268,-4.268293,-0.731707,-0.083984,-0.366699,0.927734
1762435482395291,-4.451220,-7.256098,1.219512,-0.085938,-0.371094,0.927734
1762435482405268,3.719512,-10.609756,5.121951,-0.087402,-0.375000,0.927734
1762435482415245,9.878049,-12.439025,9.695122,-0.088379,-0.376953,0.927734
1762435482425221,13.780488,-12.926829,11.768293,-0.089355,-0.377441,0.926758
1762435482435198,15.914635,-15.426829,11.890244,-0.090332,-0.378418,0.924805
1762435482445175,16.463415,-18.658537,12.621951,-0.090332,-0.381348,0.923828
1762435482455152,19.695122,-22.256098,16.158537,-0.091309,-0.386719,0.922363
1762435482465128,19.512196,-31.829269,24.268293,-0.093262,-0.389648,0.918945
1762435482475105,7.317073,-42.682926,33.231709,-0.093262,-0.389160,0.918457
1762435482485082,-5.182927,-46.341465,39.512196,-0.090332,-0.387695,0.920898
1762435482495059,-15.304878,-40.182926,41.097561,-0.085938,-0.379883,0.925293
1762435482505035,-22.804878,-30.487806,37.073174,-0.081543,-0.374512,0.929688
1762435482515013,-15.243903,-23.780489,28.170732,-0.078613,-0.369141,0.933105
1762435482524989,-5.426829,-16.951220,15.792684,-0.076172,-0.363281,0.935547
1762435482534966,0.792683,-10.426829,4.512195,-0.074219,-0.357422,0.936523
1762435482544943,0.121951,-6.280488,-2.317073,-0.073242,-0.353516,0.936035
1762435482554920,-3.475610,-4.085366,-4.756098,-0.073242,-0.351074,0.935059
1762435482564896,-9.207317,-2.682927,-5.182927,-0.072754,-0.352539,0.934082
1762435482574873,-9.024390,-2.317073,-5.487805,-0.071777,-0.354980,0.933105
1762435482584850,-8.414635,-1.829268,-5.426829,-0.070801,-0.357422,0.932617
1762435482594826,-5.121951,-3.414634,-5.487805,-0.071289,-0.361328,0.929199
1762435482604803,7.865854,-11.158537,-7.926829,-0.073242,-0.362305,0.924805
1762435482614780,11.707317,-17.682928,-15.182927,-0.072754,-0.356934,0.922363
1762435482624757,-1.097561,-19.390244,-19.512196,-0.071289,-0.353516,0.921875
1762435482634734,-7.439024,-18.414635,-16.341463,-0.069336,-0.355957,0.923828
1762435482644710,-6.829268,-17.012196,-14.756098,-0.065918,-0.356445,0.927734
1762435482654687,-7.804878,-11.524390,-12.560976,-0.062988,-0.359863,0.931152
1762435482664666,-5.609756,-10.853659,-13.536586,-0.060059,-0.360352,0.931641
1762435482674641,-9.329268,-9.817074,-12.439025,-0.057129,-0.363770,0.933105
1762435482684617,-6.097561,-5.975610,-7.926829,-0.053711,-0.369629,0.936035
1762435482694594,-3.231707,-2.500000,-4.390244,-0.051758,-0.372070,0.936523
1762435482704572,-3.841464,-1.707317,-3.170732,-0.049805,-0.372559,0.936523
1762435482714548,-3.841464,-0.670732,-2.621951,-0.048340,-0.374023,0.936523
1762435482724524,-1.646342,-0.487805,-2.195122,-0.046875,-0.374023,0.936035
1762435482734501,-1.036585,-1.036585,-1.951220,-0.045898,-0.375000,0.936035
1762435482744478,-0.792683,-1.158537,-1.463415,-0.044922,-0.375488,0.936523
1762435482754455,0.121951,-1.951220,-0.670732,-0.043945,-0.375000,0.936035
1762435482764432,-1.158537,-2.378049,-0.609756,-0.042969,-0.373535,0.936035
1762435482774408,-3.109756,-2.865854,-1.158537,-0.042480,-0.373047,0.935547
1762435482784385,-3.292683,-3.963415,-1.646342,-0.041992,-0.373535,0.935059
1762435482794362,-2.073171,-4.329268,-1.646342,-0.041016,-0.375000,0.934082
1762435482804339,-0.853659,-3.719512,-1.341463,-0.040039,-0.376953,0.934082
1762435482814315,0.426829,-3.170732,-0.853659,-0.038574,-0.377441,0.934082
1762435482824293,-0.609756,-2.195122,-0.792683,-0.037598,-0.377930,0.934082
1762435482834269,-1.951220,-1.829268,-0.609756,-0.036133,-0.376953,0.934570
1762435482844246,-3.292683,-1.585366,-1.097561,-0.035645,-0.377441,0.935059
1762435482854223,-4.268293,-1.402439,-0.426829,-0.035156,-0.376465,0.934570
1762435482864200,-5.365854,-1.280488,-1.097561,-0.034668,-0.376465,0.934082
1762435482874176,-4.695122,-1.280488,-0.975610,-0.034668,-0.376953,0.933594
1762435482884153,-1.585366,-1.585366,-2.012195,-0.033691,-0.377441,0.933594
1762435482894130,1.219512,-1.524390,-3.963415,-0.032715,-0.376953,0.933105
1762435482904106,2.621951,-1.341463,-5.243903,-0.032227,-0.378418,0.932129
1762435482914083,7.073171,-2.926829,-5.670732,-0.032715,-0.379395,0.930664
1762435482924060,6.280488,-6.036585,-5.487805,-0.032715,-0.378906,0.927734
1762435482934037,7.317073,-9.878049,-5.670732,-0.033203,-0.378418,0.925293
1762435482944014,6.097561,-14.146341,-7.195122,-0.033203,-0.375000,0.923828
1762435482953991,0.975610,-14.939025,-9.329268,-0.032227,-0.373535,0.924805
1762435482963967,-0.853659,-13.109756,-10.243902,-0.030273,-0.373047,0.926758
1762435482973946,0.060976,-10.060976,-10.365854,-0.028320,-0.374512,0.929199
1762435482983921,2.317073,-7.743903,-10.365854,-0.025879,-0.375488,0.930664
1762435482993897,2.317073,-6.219512,-9.512196,-0.024414,-0.376465,0.931641
1762435483003874,-0.304878,-5.304878,-7.317073,-0.023438,-0.376465,0.932129
1762435483013852,-3.414634,-4.390244,-5.060976,-0.021973,-0.377441,0.932617
1762435483023828,-5.243903,-3.109756,-4.573171,-0.020508,-0.376465,0.932617
1762435483033804,-6.646342,-3.048780,-6.402439,-0.019043,-0.376465,0.931641
1762435483043781,-6.463415,-5.304878,-9.024390,-0.018555,-0.375488,0.929199
1762435483053758,-10.304878,-8.780488,-12.317074,-0.019043,-0.374023,0.925781
1762435483063735,-11.402439,-12.743903,-13.963415,-0.018555,-0.374512,0.923828
1762435483073711,-9.573171,-13.475610,-12.439025,-0.017090,-0.377441,0.924805
1762435483083689,-5.853659,-10.609756,-9.085366,-0.014648,-0.379883,0.927734
1762435483093665,-3.231707,-7.500000,-6.829268,-0.012695,-0.382324,0.929199
1762435483103642,-1.097561,-6.829268,-6.097561,-0.010742,-0.383789,0.929199
1762435483113619,-0.609756,-6.402439,-5.426829,-0.008789,-0.385742,0.929688
1762435483123595,0.731707,-4.329268,-3.780488,-0.006348,-0.388184,0.931152
1762435483133573,0.731707,-2.560976,-1.707317,-0.004395,-0.389648,0.931152
1762435483143549,1.463415,-1.707317,-0.060976,-0.002930,-0.390625,0.931641
1762435483153526,3.292683,-1.280488,0.243902,-0.001465,-0.391113,0.931641
1762435483163503,4.024390,-1.097561,0.670732,-0.000977,-0.390625,0.932617
1762435483173480,3.902439,-1.219512,1.036585,0.000000,-0.389648,0.932617
1762435483183456,3.841464,-1.463415,1.402439,0.000488,-0.388672,0.933105
